Ulasan,Case Folding,Remove Punctuation,Remove Number,Tokenization,Spelling Correction,Stopwords,Stemming,Sentimen
aku sih puas tapi klo harganya murah jgan dinaikkan dan klo.bsa bagi bagi hadiahlah atw pulsa grtis,aku sih puas tapi klo harganya murah jgan dinaikkan dan klo.bsa bagi bagi hadiahlah atw pulsa grtis,aku sih puas tapi klo harganya murah jgan dinaikkan dan klo bsa bagi bagi hadiahlah atw pulsa grtis,aku sih puas tapi klo harganya murah jgan dinaikkan dan klo bsa bagi bagi hadiahlah atw pulsa grtis,"['aku', 'sih', 'puas', 'tapi', 'klo', 'harganya', 'murah', 'jgan', 'dinaikkan', 'dan', 'klo', 'bsa', 'bagi', 'bagi', 'hadiahlah', 'atw', 'pulsa', 'grtis']","['aku', 'sih', 'puas', 'tapi', 'kalau', 'harganya', 'murah', 'jangan', 'dinaikkan', 'dan', 'kalau', 'bisa', 'bagi', 'bagi', 'hadiahlah', 'atau', 'pulsa', 'gratis']","['aku', 'sih', 'puas', 'kalau', 'harganya', 'murah', 'jangan', 'dinaikkan', 'kalau', 'hadiahlah', 'pulsa', 'gratis']",aku sih puas kalau harga murah jangan naik kalau hadiah pulsa gratis,NETRAL
"Assalamu'alaikum min, selamat sore. Maaf mengganggu. Ini saya mau ngasih keluhan : 1. utk aplikasinya kurang senang aku nya soalnya pas beli kuota internet di aplikasi malahan cuman sekali beli + gk ada unlimited nya. Seharusnya di update lagi min yg berkaitan ini biar kalo beli kuota internet di aplikasi bisa dibeli lagi kuota internetnya. 2. Saya mau update aplikasi my telkomsel tetep nggk bisa min padahal hp saya udah windows 11. Mohon diusahakan ya min ðð»","assalamu'alaikum min, selamat sore. maaf mengganggu. ini saya mau ngasih keluhan : 1. utk aplikasinya kurang senang aku nya soalnya pas beli kuota internet di aplikasi malahan cuman sekali beli + gk ada unlimited nya. seharusnya di update lagi min yg berkaitan ini biar kalo beli kuota internet di aplikasi bisa dibeli lagi kuota internetnya. 2. saya mau update aplikasi my telkomsel tetep nggk bisa min padahal hp saya udah windows 11. mohon diusahakan ya min ðð»",assalamu alaikum min  selamat sore  maaf mengganggu  ini saya mau ngasih keluhan   1  utk aplikasinya kurang senang aku nya soalnya pas beli kuota internet di aplikasi malahan cuman sekali beli   gk ada unlimited nya  seharusnya di update lagi min yg berkaitan ini biar kalo beli kuota internet di aplikasi bisa dibeli lagi kuota internetnya  2  saya mau update aplikasi my telkomsel tetep nggk bisa min padahal hp saya udah windows 11  mohon diusahakan ya min ðð»,assalamu alaikum min  selamat sore  maaf mengganggu  ini saya mau ngasih keluhan     utk aplikasinya kurang senang aku nya soalnya pas beli kuota internet di aplikasi malahan cuman sekali beli   gk ada unlimited nya  seharusnya di update lagi min yg berkaitan ini biar kalo beli kuota internet di aplikasi bisa dibeli lagi kuota internetnya    saya mau update aplikasi my telkomsel tetep nggk bisa min padahal hp saya udah windows   mohon diusahakan ya min ðð»,"['assalamu', 'alaikum', 'min', 'selamat', 'sore', 'maaf', 'mengganggu', 'ini', 'saya', 'mau', 'ngasih', 'keluhan', 'utk', 'aplikasinya', 'kurang', 'senang', 'aku', 'nya', 'soalnya', 'pas', 'beli', 'kuota', 'internet', 'di', 'aplikasi', 'malahan', 'cuman', 'sekali', 'beli', 'gk', 'ada', 'unlimited', 'nya', 'seharusnya', 'di', 'update', 'lagi', 'min', 'yg', 'berkaitan', 'ini', 'biar', 'kalo', 'beli', 'kuota', 'internet', 'di', 'aplikasi', 'bisa', 'dibeli', 'lagi', 'kuota', 'internetnya', 'saya', 'mau', 'update', 'aplikasi', 'my', 'telkomsel', 'tetep', 'nggk', 'bisa', 'min', 'padahal', 'hp', 'saya', 'udah', 'windows', 'mohon', 'diusahakan', 'ya', 'min', 'ð\x9f\x99\x8fð\x9f\x8f', '»']","['assalamu', 'alaikum', 'admin', 'selamat', 'sore', 'maaf', 'mengganggu', 'ini', 'saya', 'mau', 'kasih', 'keluhan', 'untuk', 'aplikasinya', 'kurang', 'senang', 'aku', 'nya', 'soalnya', 'pas', 'beli', 'kuota', 'internet', 'di', 'aplikasi', 'malahan', 'cuma', 'sekali', 'beli', 'tidak', 'ada', 'unlimited', 'nya', 'seharusnya', 'di', 'update', 'lagi', 'admin', 'yang', 'berkaitan', 'ini', 'biar', 'kalau', 'beli', 'kuota', 'internet', 'di', 'aplikasi', 'bisa', 'dibeli', 'lagi', 'kuota', 'internetnya', 'saya', 'mau', 'update', 'aplikasi', 'my', 'telkomsel', 'tetap', 'tidak', 'bisa', 'admin', 'padahal', 'hp', 'saya', 'sudah', 'windows', 'mohon', 'diusahakan', 'ya', 'admin', 'ð\x9f\x99\x8fð\x9f\x8f', '»']","['assalamu', 'alaikum', 'admin', 'selamat', 'sore', 'maaf', 'mengganggu', 'mau', 'kasih', 'keluhan', 'aplikasinya', 'kurang', 'senang', 'aku', 'nya', 'soalnya', 'pas', 'beli', 'kuota', 'internet', 'aplikasi', 'malahan', 'cuma', 'sekali', 'beli', 'tidak', 'unlimited', 'nya', 'update', 'admin', 'berkaitan', 'biar', 'kalau', 'beli', 'kuota', 'internet', 'aplikasi', 'dibeli', 'kuota', 'internetnya', 'mau', 'update', 'aplikasi', 'my', 'telkomsel', 'tetap', 'tidak', 'admin', 'padahal', 'hp', 'windows', 'mohon', 'diusahakan', 'admin', 'ð\x9f\x99\x8fð\x9f\x8f', '»']",assalamu alaikum admin selamat sore maaf ganggu mau kasih keluh aplikasi kurang senang aku nya soal pas beli kuota internet aplikasi malah cuma sekali beli tidak unlimited nya update admin kait biar kalau beli kuota internet aplikasi beli kuota internetnya mau update aplikasi my telkomsel tetap tidak admin padahal hp windows mohon usaha admin,NEGATIF
"Aku tertarik karena ada event chek in.nya tapi ku fikir tiap bulan ternyata tidak menentu. Kalau bisa chek inNya khususnya rewardnya, kasih panjang expirednya. Jangan cuma sehari sja dong biar bnyak tuh yang tertarik download aplikasinya.","aku tertarik karena ada event chek in.nya tapi ku fikir tiap bulan ternyata tidak menentu. kalau bisa chek innya khususnya rewardnya, kasih panjang expirednya. jangan cuma sehari sja dong biar bnyak tuh yang tertarik download aplikasinya.",aku tertarik karena ada event chek in nya tapi ku fikir tiap bulan ternyata tidak menentu  kalau bisa chek innya khususnya rewardnya  kasih panjang expirednya  jangan cuma sehari sja dong biar bnyak tuh yang tertarik download aplikasinya ,aku tertarik karena ada event chek in nya tapi ku fikir tiap bulan ternyata tidak menentu  kalau bisa chek innya khususnya rewardnya  kasih panjang expirednya  jangan cuma sehari sja dong biar bnyak tuh yang tertarik download aplikasinya ,"['aku', 'tertarik', 'karena', 'ada', 'event', 'chek', 'in', 'nya', 'tapi', 'ku', 'fikir', 'tiap', 'bulan', 'ternyata', 'tidak', 'menentu', 'kalau', 'bisa', 'chek', 'innya', 'khususnya', 'rewardnya', 'kasih', 'panjang', 'expirednya', 'jangan', 'cuma', 'sehari', 'sja', 'dong', 'biar', 'bnyak', 'tuh', 'yang', 'tertarik', 'download', 'aplikasinya']","['aku', 'tertarik', 'karena', 'ada', 'event', 'cek', 'in', 'nya', 'tapi', 'ku', 'pikir', 'tiap', 'bulan', 'ternyata', 'tidak', 'menentu', 'kalau', 'bisa', 'cek', 'innya', 'khususnya', 'reward', 'kasih', 'panjang', 'expired', 'jangan', 'cuma', 'sehari', 'saja', 'dong', 'biar', 'banyak', 'tuh', 'yang', 'tertarik', 'download', 'aplikasinya']","['aku', 'tertarik', 'event', 'cek', 'in', 'nya', 'ku', 'pikir', 'tiap', 'bulan', 'ternyata', 'tidak', 'menentu', 'kalau', 'cek', 'innya', 'khususnya', 'reward', 'kasih', 'panjang', 'expired', 'jangan', 'cuma', 'sehari', 'dong', 'biar', 'banyak', 'tuh', 'tertarik', 'download', 'aplikasinya']",aku tarik event cek in nya ku pikir tiap bulan nyata tidak tentu kalau cek innya khusus reward kasih panjang expired jangan cuma hari dong biar banyak tuh tarik download aplikasi,NETRAL
"saya malas my telkomsel ,bentar di instalkadang di copot tapi lama""jadi biasa pake my telkomsel.","saya malas my telkomsel ,bentar di instalkadang di copot tapi lama""jadi biasa pake my telkomsel.",saya malas my telkomsel  bentar di instalkadang di copot tapi lama jadi biasa pake my telkomsel ,saya malas my telkomsel  bentar di instalkadang di copot tapi lama jadi biasa pake my telkomsel ,"['saya', 'malas', 'my', 'telkomsel', 'bentar', 'di', 'instalkadang', 'di', 'copot', 'tapi', 'lama', 'jadi', 'biasa', 'pake', 'my', 'telkomsel']","['saya', 'malas', 'my', 'telkomsel', 'bentar', 'di', 'install kadang', 'di', 'copot', 'tapi', 'lama', 'jadi', 'biasa', 'pakai', 'my', 'telkomsel']","['malas', 'my', 'telkomsel', 'bentar', 'install kadang', 'copot', 'lama', 'jadi', 'biasa', 'pakai', 'my', 'telkomsel']",malas my telkomsel bentar install kadang copot lama jadi biasa pakai my telkomsel,NETRAL
di Bingin teluk lokasi layanan Telkomsel cukup memuaskan,di bingin teluk lokasi layanan telkomsel cukup memuaskan,di bingin teluk lokasi layanan telkomsel cukup memuaskan,di bingin teluk lokasi layanan telkomsel cukup memuaskan,"['di', 'bingin', 'teluk', 'lokasi', 'layanan', 'telkomsel', 'cukup', 'memuaskan']","['di', 'bingin', 'teluk', 'lokasi', 'layanan', 'telkomsel', 'cukup', 'memuaskan']","['bingin', 'teluk', 'lokasi', 'layanan', 'telkomsel', 'cukup', 'memuaskan']",bingin teluk lokasi layan telkomsel cukup muas,POSITIF
"Percuma buka my Telkomsel untuk daily cek in nya tidak bisa mendapatkan kuota internet karna di mulai dari tgl 10an, aplikasi Telkomsel sangat tidak berguna sekali sekarang.","percuma buka my telkomsel untuk daily cek in nya tidak bisa mendapatkan kuota internet karna di mulai dari tgl 10an, aplikasi telkomsel sangat tidak berguna sekali sekarang.",percuma buka my telkomsel untuk daily cek in nya tidak bisa mendapatkan kuota internet karna di mulai dari tgl 10an  aplikasi telkomsel sangat tidak berguna sekali sekarang ,percuma buka my telkomsel untuk daily cek in nya tidak bisa mendapatkan kuota internet karna di mulai dari tgl an  aplikasi telkomsel sangat tidak berguna sekali sekarang ,"['percuma', 'buka', 'my', 'telkomsel', 'untuk', 'daily', 'cek', 'in', 'nya', 'tidak', 'bisa', 'mendapatkan', 'kuota', 'internet', 'karna', 'di', 'mulai', 'dari', 'tgl', 'an', 'aplikasi', 'telkomsel', 'sangat', 'tidak', 'berguna', 'sekali', 'sekarang']","['percuma', 'buka', 'my', 'telkomsel', 'untuk', 'daily', 'cek', 'in', 'nya', 'tidak', 'bisa', 'mendapatkan', 'kuota', 'internet', 'karena', 'di', 'mulai', 'dari', 'tanggal', 'an', 'aplikasi', 'telkomsel', 'sangat', 'tidak', 'berguna', 'sekali', 'sekarang']","['percuma', 'buka', 'my', 'telkomsel', 'daily', 'cek', 'in', 'nya', 'tidak', 'mendapatkan', 'kuota', 'internet', 'mulai', 'tanggal', 'an', 'aplikasi', 'telkomsel', 'sangat', 'tidak', 'berguna', 'sekali', 'sekarang']",percuma buka my telkomsel daily cek in nya tidak dapat kuota internet mulai tanggal an aplikasi telkomsel sangat tidak guna sekali sekarang,NEGATIF
"Kenapa jd gk bisa klaim reward yah,","kenapa jd gk bisa klaim reward yah,",kenapa jd gk bisa klaim reward yah ,kenapa jd gk bisa klaim reward yah ,"['kenapa', 'jd', 'gk', 'bisa', 'klaim', 'reward', 'yah']","['kenapa', 'jadi', 'tidak', 'bisa', 'klaim', 'reward', 'ya']","['jadi', 'tidak', 'klaim', 'reward']",jadi tidak klaim reward,NEGATIF
"Isi kouta tidak sesuai dengan deskripsi'ya,","isi kouta tidak sesuai dengan deskripsi'ya,",isi kouta tidak sesuai dengan deskripsi ya ,isi kouta tidak sesuai dengan deskripsi ya ,"['isi', 'kouta', 'tidak', 'sesuai', 'dengan', 'deskripsi', 'ya']","['isi', 'kouta', 'tidak', 'sesuai', 'dengan', 'deskripsi', 'ya']","['isi', 'kouta', 'tidak', 'sesuai', 'deskripsi']",isi kouta tidak sesuai deskripsi,NEGATIF
Bagus sekali......ððððð,bagus sekali......ððððð,bagus sekali      ððððð,bagus sekali      ððððð,"['bagus', 'sekali', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d']","['bagus', 'sekali', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d']","['bagus', 'sekali', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d']",bagus sekali,POSITIF
8iiii Iin iii ok Iin i1sedii iioioi,8iiii iin iii ok iin i1sedii iioioi,8iiii iin iii ok iin i1sedii iioioi,iiii iin iii ok iin isedii iioioi,"['iiii', 'iin', 'iii', 'ok', 'iin', 'isedii', 'iioioi']","['iiii', 'in', 'iii', 'oke', 'in', 'sedih', 'iioioi']","['iiii', 'in', 'iii', 'oke', 'in', 'sedih', 'iioioi']",iiii in iii oke in sedih iioioi,NETRAL
Aplikasi nya bagus bet jadi gampang mau beli paketan trimakasih banyak untuk developor yang menciptakan mytelkomsel ini,aplikasi nya bagus bet jadi gampang mau beli paketan trimakasih banyak untuk developor yang menciptakan mytelkomsel ini,aplikasi nya bagus bet jadi gampang mau beli paketan trimakasih banyak untuk developor yang menciptakan mytelkomsel ini,aplikasi nya bagus bet jadi gampang mau beli paketan trimakasih banyak untuk developor yang menciptakan mytelkomsel ini,"['aplikasi', 'nya', 'bagus', 'bet', 'jadi', 'gampang', 'mau', 'beli', 'paketan', 'trimakasih', 'banyak', 'untuk', 'developor', 'yang', 'menciptakan', 'mytelkomsel', 'ini']","['aplikasi', 'nya', 'bagus', 'bet', 'jadi', 'gampang', 'mau', 'beli', 'paketan', 'terima kasih', 'banyak', 'untuk', 'developer', 'yang', 'menciptakan', 'mytelkomsel', 'ini']","['aplikasi', 'nya', 'bagus', 'bet', 'jadi', 'gampang', 'mau', 'beli', 'paketan', 'terima kasih', 'banyak', 'developer', 'menciptakan', 'mytelkomsel']",aplikasi nya bagus bet jadi gampang mau beli paket terima kasih banyak developer cipta mytelkomsel,POSITIF
makin keren,makin keren,makin keren,makin keren,"['makin', 'keren']","['makin', 'keren']","['makin', 'keren']",makin keren,POSITIF
Jaringan setan babi,jaringan setan babi,jaringan setan babi,jaringan setan babi,"['jaringan', 'setan', 'babi']","['jaringan', 'setan', 'babi']","['jaringan', 'setan', 'babi']",jaring setan babi,NEGATIF
G niat ngasih bonus.,g niat ngasih bonus.,g niat ngasih bonus ,g niat ngasih bonus ,"['g', 'niat', 'ngasih', 'bonus']","['g', 'niat', 'kasih', 'bonus']","['g', 'niat', 'kasih', 'bonus']",g niat kasih bonus,NEGATIF
"Bagus,tapi kok habis jam 19:00 selalu hilang ya???","bagus,tapi kok habis jam 19:00 selalu hilang ya???",bagus tapi kok habis jam 19 00 selalu hilang ya   ,bagus tapi kok habis jam   selalu hilang ya   ,"['bagus', 'tapi', 'kok', 'habis', 'jam', 'selalu', 'hilang', 'ya']","['bagus', 'tapi', 'kok', 'habis', 'jam', 'selalu', 'hilang', 'ya']","['bagus', 'kok', 'habis', 'jam', 'selalu', 'hilang']",bagus kok habis jam selalu hilang,NEGATIF
membantu juga bagi pengguna HP androit di tempat jaringan yg bagus..,membantu juga bagi pengguna hp androit di tempat jaringan yg bagus..,membantu juga bagi pengguna hp androit di tempat jaringan yg bagus  ,membantu juga bagi pengguna hp androit di tempat jaringan yg bagus  ,"['membantu', 'juga', 'bagi', 'pengguna', 'hp', 'androit', 'di', 'tempat', 'jaringan', 'yg', 'bagus']","['membantu', 'juga', 'bagi', 'pengguna', 'hp', 'android', 'di', 'tempat', 'jaringan', 'yang', 'bagus']","['membantu', 'pengguna', 'hp', 'android', 'tempat', 'jaringan', 'bagus']",bantu guna hp android tempat jaring bagus,POSITIF
"Mau bayar tagihan ja susah,jaringan lah,sistem lah yg salah,ntar lebih dr pemakaian tenggatnya yg ada denda pajak per bulannya,per tanggal 20,klo cari untung jangan akali customer min!!","mau bayar tagihan ja susah,jaringan lah,sistem lah yg salah,ntar lebih dr pemakaian tenggatnya yg ada denda pajak per bulannya,per tanggal 20,klo cari untung jangan akali customer min!!",mau bayar tagihan ja susah jaringan lah sistem lah yg salah ntar lebih dr pemakaian tenggatnya yg ada denda pajak per bulannya per tanggal 20 klo cari untung jangan akali customer min  ,mau bayar tagihan ja susah jaringan lah sistem lah yg salah ntar lebih dr pemakaian tenggatnya yg ada denda pajak per bulannya per tanggal  klo cari untung jangan akali customer min  ,"['mau', 'bayar', 'tagihan', 'ja', 'susah', 'jaringan', 'lah', 'sistem', 'lah', 'yg', 'salah', 'ntar', 'lebih', 'dr', 'pemakaian', 'tenggatnya', 'yg', 'ada', 'denda', 'pajak', 'per', 'bulannya', 'per', 'tanggal', 'klo', 'cari', 'untung', 'jangan', 'akali', 'customer', 'min']","['mau', 'bayar', 'tagihan', 'ja', 'susah', 'jaringan', 'lah', 'sistem', 'lah', 'yang', 'salah', 'sebentar', 'lebih', 'dari', 'pemakaian', 'tenggatnya', 'yang', 'ada', 'denda', 'pajak', 'per', 'bulannya', 'per', 'tanggal', 'kalau', 'cari', 'untung', 'jangan', 'mengakali', 'customer', 'admin']","['mau', 'bayar', 'tagihan', 'ja', 'susah', 'jaringan', 'lah', 'sistem', 'lah', 'salah', 'sebentar', 'lebih', 'pemakaian', 'tenggatnya', 'denda', 'pajak', 'per', 'bulannya', 'per', 'tanggal', 'kalau', 'cari', 'untung', 'jangan', 'mengakali', 'customer', 'admin']",mau bayar tagih ja susah jaring lah sistem lah salah sebentar lebih pakai tenggat denda pajak per bulan per tanggal kalau cari untung jangan akal customer admin,NEGATIF
info lengkap..memudahkan dan cepat,info lengkap..memudahkan dan cepat,info lengkap  memudahkan dan cepat,info lengkap  memudahkan dan cepat,"['info', 'lengkap', 'memudahkan', 'dan', 'cepat']","['info', 'lengkap', 'memudahkan', 'dan', 'cepat']","['info', 'lengkap', 'memudahkan', 'cepat']",info lengkap mudah cepat,POSITIF
Udah lemot paket banyak paket darurat aktif lagi sebel deh jadiny pakat darurat jangan ada lagi dong potong potong pulsa ga jelas,udah lemot paket banyak paket darurat aktif lagi sebel deh jadiny pakat darurat jangan ada lagi dong potong potong pulsa ga jelas,udah lemot paket banyak paket darurat aktif lagi sebel deh jadiny pakat darurat jangan ada lagi dong potong potong pulsa ga jelas,udah lemot paket banyak paket darurat aktif lagi sebel deh jadiny pakat darurat jangan ada lagi dong potong potong pulsa ga jelas,"['udah', 'lemot', 'paket', 'banyak', 'paket', 'darurat', 'aktif', 'lagi', 'sebel', 'deh', 'jadiny', 'pakat', 'darurat', 'jangan', 'ada', 'lagi', 'dong', 'potong', 'potong', 'pulsa', 'ga', 'jelas']","['sudah', 'lambat', 'paket', 'banyak', 'paket', 'darurat', 'aktif', 'lagi', 'sebal', 'deh', 'jadinya', 'paket', 'darurat', 'jangan', 'ada', 'lagi', 'dong', 'potong', 'potong', 'pulsa', 'tidak', 'jelas']","['lambat', 'paket', 'banyak', 'paket', 'darurat', 'aktif', 'sebal', 'deh', 'jadinya', 'paket', 'darurat', 'jangan', 'dong', 'potong', 'potong', 'pulsa', 'tidak', 'jelas']",lambat paket banyak paket darurat aktif sebal deh jadi paket darurat jangan dong potong potong pulsa tidak jelas,NEGATIF
Makasih Telkomsel Sudah mau mau mengadakan paket murah buat yang jarang daftar paket...dan saya sebagai masyarakat kecil sangat terbantu dengan telkomsel karena harga paket spesial saya murah dan sering mengadakan paket kuota 12gb makasih telkomsel semoga sukses selalu dan tetap mempertahanlan harga paket untuk memudahkan masyarakat seperti kami â¤,makasih telkomsel sudah mau mau mengadakan paket murah buat yang jarang daftar paket...dan saya sebagai masyarakat kecil sangat terbantu dengan telkomsel karena harga paket spesial saya murah dan sering mengadakan paket kuota 12gb makasih telkomsel semoga sukses selalu dan tetap mempertahanlan harga paket untuk memudahkan masyarakat seperti kami â¤,makasih telkomsel sudah mau mau mengadakan paket murah buat yang jarang daftar paket   dan saya sebagai masyarakat kecil sangat terbantu dengan telkomsel karena harga paket spesial saya murah dan sering mengadakan paket kuota 12gb makasih telkomsel semoga sukses selalu dan tetap mempertahanlan harga paket untuk memudahkan masyarakat seperti kami â¤,makasih telkomsel sudah mau mau mengadakan paket murah buat yang jarang daftar paket   dan saya sebagai masyarakat kecil sangat terbantu dengan telkomsel karena harga paket spesial saya murah dan sering mengadakan paket kuota gb makasih telkomsel semoga sukses selalu dan tetap mempertahanlan harga paket untuk memudahkan masyarakat seperti kami â¤,"['makasih', 'telkomsel', 'sudah', 'mau', 'mau', 'mengadakan', 'paket', 'murah', 'buat', 'yang', 'jarang', 'daftar', 'paket', 'dan', 'saya', 'sebagai', 'masyarakat', 'kecil', 'sangat', 'terbantu', 'dengan', 'telkomsel', 'karena', 'harga', 'paket', 'spesial', 'saya', 'murah', 'dan', 'sering', 'mengadakan', 'paket', 'kuota', 'gb', 'makasih', 'telkomsel', 'semoga', 'sukses', 'selalu', 'dan', 'tetap', 'mempertahanlan', 'harga', 'paket', 'untuk', 'memudahkan', 'masyarakat', 'seperti', 'kami', 'â\x9d¤']","['terima kasih', 'telkomsel', 'sudah', 'mau', 'mau', 'mengadakan', 'paket', 'murah', 'buat', 'yang', 'jarang', 'daftar', 'paket', 'dan', 'saya', 'sebagai', 'masyarakat', 'kecil', 'sangat', 'terbantu', 'dengan', 'telkomsel', 'karena', 'harga', 'paket', 'spesial', 'saya', 'murah', 'dan', 'sering', 'mengadakan', 'paket', 'kuota', 'gb', 'terima kasih', 'telkomsel', 'semoga', 'sukses', 'selalu', 'dan', 'tetap', 'mempertahanlan', 'harga', 'paket', 'untuk', 'memudahkan', 'masyarakat', 'seperti', 'kami', 'â\x9d¤']","['terima kasih', 'telkomsel', 'mau', 'mau', 'mengadakan', 'paket', 'murah', 'buat', 'jarang', 'daftar', 'paket', 'masyarakat', 'kecil', 'sangat', 'terbantu', 'telkomsel', 'harga', 'paket', 'spesial', 'murah', 'sering', 'mengadakan', 'paket', 'kuota', 'gb', 'terima kasih', 'telkomsel', 'semoga', 'sukses', 'selalu', 'tetap', 'mempertahanlan', 'harga', 'paket', 'memudahkan', 'masyarakat', 'â\x9d¤']",terima kasih telkomsel mau mau ada paket murah buat jarang daftar paket masyarakat kecil sangat bantu telkomsel harga paket spesial murah sering ada paket kuota gb terima kasih telkomsel moga sukses selalu tetap mempertahanlan harga paket mudah masyarakat,POSITIF
